Exit Rates by Year,Year,Exit Rate,Exit Rate (Fit),SE to PE,SE to PE (Fit),SE to NE,SE to NE (Fit)
Entry Rates By Age,59,2.11,2.05,1.36,1.34,4.74,4.81
Entry Rates By Age,60,2.1,2.05,1.36,1.35,4.53,4.57
Entry Rates By Age,61,2.11,2.05,1.39,1.37,4.3,4.31
Entry Rates By Age,62,2.07,2.06,1.39,1.4,3.91,4.01
Entry Rates By Age,63,2.09,2.07,1.49,1.43,3.59,3.68
Entry Rates By Age,64,2.05,2.09,1.47,1.48,3.28,3.32
Entry Rates By Age,65,2,2.12,1.45,1.54,3.11,2.91
Entry Rates for Employers By Age,Age,Entry Rate,Entry Rate (Fit),PE to ESE,PE to ESE (Fit),NE to ESE,NE to ESE (Fit)
Entry Rates for Employers By Age,26,0.1,0.09,0.06,0.06,-0.01,-0.02
Entry Rates for Employers By Age,27,0.15,0.16,0.1,0.12,0.03,0.03
Entry Rates for Employers By Age,28,0.22,0.23,0.16,0.16,0.09,0.08
Entry Rates for Employers By Age,29,0.28,0.29,0.21,0.21,0.13,0.13
Entry Rates for Employers By Age,30,0.34,0.35,0.25,0.25,0.18,0.18
Entry Rates for Employers By Age,31,0.38,0.4,0.27,0.28,0.23,0.22
Entry Rates for Employers By Age,32,0.44,0.45,0.31,0.32,0.26,0.27
Entry Rates for Employers By Age,33,0.5,0.49,0.35,0.35,0.32,0.32
Entry Rates for Employers By Age,34,0.54,0.53,0.38,0.37,0.36,0.37
Entry Rates for Employers By Age,35,0.59,0.57,0.41,0.39,0.41,0.41
Entry Rates for Employers By Age,36,0.61,0.6,0.42,0.41,0.45,0.46
Entry Rates for Employers By Age,37,0.64,0.63,0.44,0.43,0.5,0.5
Entry Rates for Employers By Age,38,0.67,0.66,0.45,0.44,0.54,0.54
Entry Rates for Employers By Age,39,0.68,0.68,0.45,0.45,0.58,0.59
Entry Rates for Employers By Age,40,0.7,0.7,0.46,0.46,0.63,0.62
Entry Rates for Employers By Age,41,0.71,0.72,0.46,0.47,0.66,0.66
Entry Rates for Employers By Age,42,0.73,0.73,0.47,0.47,0.69,0.7
Entry Rates for Employers By Age,43,0.73,0.74,0.46,0.47,0.73,0.73
Entry Rates for Employers By Age,44,0.74,0.75,0.47,0.47,0.76,0.76
Entry Rates for Employers By Age,45,0.74,0.76,0.46,0.47,0.78,0.79
Entry Rates for Employers By Age,46,0.75,0.76,0.46,0.47,0.81,0.81
Entry Rates for Employers By Age,47,0.75,0.76,0.46,0.47,0.84,0.84
Entry Rates for Employers By Age,48,0.75,0.76,0.46,0.46,0.86,0.85
Entry Rates for Employers By Age,49,0.75,0.76,0.45,0.46,0.88,0.87
Entry Rates for Employers By Age,50,0.76,0.76,0.45,0.45,0.9,0.88
Entry Rates for Employers By Age,51,0.75,0.76,0.45,0.45,0.92,0.89
Entry Rates for Employers By Age,52,0.75,0.75,0.44,0.44,0.92,0.9
Entry Rates for Employers By Age,53,0.74,0.74,0.43,0.43,0.91,0.9
Entry Rates for Employers By Age,54,0.74,0.74,0.43,0.43,0.9,0.89
Entry Rates for Employers By Age,55,0.73,0.73,0.42,0.42,0.9,0.89
Entry Rates for Employers By Age,56,0.73,0.72,0.42,0.41,0.88,0.87
Entry Rates for Employers By Age,57,0.71,0.71,0.41,0.41,0.84,0.86
Entry Rates for Employers By Age,58,0.71,0.7,0.41,0.4,0.81,0.84
Entry Rates for Employers By Age,59,0.7,0.69,0.41,0.4,0.79,0.81
Entry Rates for Employers By Age,60,0.69,0.68,0.4,0.4,0.76,0.78
Entry Rates for Employers By Age,61,0.68,0.67,0.4,0.39,0.72,0.74
Entry Rates for Employers By Age,62,0.66,0.66,0.39,0.39,0.68,0.7
Entry Rates for Employers By Age,63,0.65,0.65,0.4,0.39,0.64,0.65
Entry Rates for Employers By Age,64,0.64,0.64,0.4,0.4,0.61,0.59
Entry Rates for Employers By Age,65,0.59,0.63,0.37,0.4,0.58,0.53
